momentum,top_n,stop_loss,universe_size,total_return,annual_return,sharpe,max_dd,trades,stopped,win_rate
ret_1m,100,0.03,200,509.9741702511121,46.38472870135706,2.2770110012684364,-13.793091584135553,3939,2383,31.02310231023102
ret_1m,100,0.03,500,721.5710348482153,55.86601258652741,2.547803894759459,-16.8144391497416,4940,2669,29.554655870445345
ret_1m,100,0.03,1000,1160.8692577952038,70.5902241999661,2.9809814462821835,-18.875243733334493,5217,2570,19.014759440291353
ret_1m,100,0.05,100,178.63914333328964,24.104561953242467,1.574028896461259,-25.260785911498516,1337,833,29.768137621540763
ret_1m,100,0.05,200,396.27641441537696,40.15742958906359,1.9852491640721746,-14.538475708316273,3721,1820,37.78554152109648
ret_1m,100,0.05,500,535.0806787084207,47.63433892393696,2.196645703101909,-16.290632394783668,4865,2145,35.00513874614594
ret_1m,100,0.05,1000,979.5863444796005,65.10022250957637,2.71987127909459,-19.271122909345408,5183,2224,23.42272814972024
ret_1m,100,0.1,100,146.7364793038255,20.964762909976265,1.3305731580136746,-27.631470979885236,1121,491,39.33987511150758
ret_1m,100,0.1,200,258.7370797899239,30.8919725844641,1.519719885190506,-17.59942119153409,3469,880,44.94090515998847
ret_1m,100,0.1,500,308.2142966835164,34.50486377933808,1.5969940608218929,-17.713983439381117,4781,1193,41.56034302447187
ret_1m,100,0.1,1000,589.8884838582359,50.23234657723119,2.078817335678569,-20.944930118027607,5118,1547,29.09339585775694
ret_3m,10,0.03,100,1868.6571167260734,91.58006513140255,1.8287215603758722,-33.37667733380045,416,263,27.163461538461537
ret_3m,10,0.03,200,1947.1346904400125,93.22088194055982,1.5855628927158596,-38.12113866977393,442,304,20.361990950226243
ret_3m,10,0.03,500,2600.5307816863005,105.25824795943292,1.8781990920554201,-30.790811719528406,457,264,13.129102844638949
ret_3m,10,0.03,1000,2350.375510826244,100.95101591943431,1.9616203458659869,-34.69882295789449,465,242,8.817204301075268
ret_3m,10,0.05,100,1449.1459983389161,81.82080612993316,1.7111578200480855,-33.376677333800444,400,229,31.25
ret_3m,10,0.05,200,1570.7149290004672,84.84247230575835,1.505896763322891,-38.2021408287694,421,264,24.94061757719715
ret_3m,10,0.05,500,2305.324209699804,100.13910893335267,1.8425316728769738,-30.790811719528428,449,236,17.37193763919822
ret_3m,10,0.05,1000,1731.2561930587797,88.57980080093448,1.8387717232769787,-34.48066815094018,462,230,10.173160173160174
ret_3m,10,0.1,100,1223.3562315412116,75.67796264138332,1.5820351331288665,-36.56349297284792,367,136,40.87193460490463
ret_3m,10,0.1,200,1513.7697615316958,83.44925145658199,1.509951584068168,-39.993188406582355,388,169,33.76288659793815
ret_3m,10,0.1,500,1995.7457146514257,94.21273098315228,1.7505990602914252,-30.790811719528428,426,173,23.943661971830984
ret_3m,10,0.1,1000,1779.3644295191214,89.64971363925423,1.8432123198645909,-35.51573986662676,443,188,14.221218961625281
ret_3m,20,0.03,100,714.3614218549932,58.020653098771206,1.805071760383816,-28.416365844033088,782,504,26.854219948849106
ret_3m,20,0.03,200,1317.5831514258616,78.33411874250129,1.8984522468650302,-32.68751821237263,814,521,24.201474201474202
ret_3m,20,0.03,500,1864.2331683775983,91.48605621238563,2.2126501373805416,-27.991256193473614,882,511,17.46031746031746
ret_3m,20,0.03,1000,1887.5288138943058,91.97924336543024,2.4081732659821893,-24.6343568505294,888,465,11.26126126126126
ret_3m,20,0.05,100,613.675788568404,53.535609148558464,1.7040368355717652,-28.736238010658592,743,401,33.37819650067295
ret_3m,20,0.05,200,859.96232184797,63.794505643750114,1.6459061632027305,-34.44644670103943,783,446,28.863346104725412
ret_3m,20,0.05,500,1532.7075973059887,83.9167912632028,2.092463744632069,-27.87376982425796,856,451,21.261682242990652
ret_3m,20,0.05,1000,1578.342211736198,85.02624988798593,2.2825596758300284,-25.080455601084537,879,432,13.310580204778159
ret_3m,20,0.1,100,394.3362433293749,41.71490765865169,1.3732120578857863,-37.29434091617016,681,235,40.52863436123348
ret_3m,20,0.1,200,693.5676876820793,57.13144016935856,1.505311366299818,-34.5154153281037,718,262,37.60445682451253
ret_3m,20,0.1,500,1245.0671965966637,76.30277459657124,1.9085877311003325,-30.966025759174105,810,312,29.38271604938272
ret_3m,20,0.1,1000,1260.8022970142156,76.75069902396447,2.0870350212664515,-28.013079097211595,844,340,17.77251184834123
ret_3m,30,0.03,100,502.98508719720803,47.992677068449275,1.8345786864771092,-21.93674019893309,1092,707,27.747252747252748
ret_3m,30,0.03,200,820.9369791215174,62.31810217197737,1.869951734205603,-28.717211247137175,1174,755,24.787052810902896
ret_3m,30,0.03,500,1491.2380152398616,82.88736336162255,2.2026773491593894,-28.250202480998755,1278,748,19.014084507042252
ret_3m,30,0.03,1000,1890.4915978630409,92.04164339923612,2.5256894227621194,-28.715179878784845,1293,684,11.832946635730858
ret_3m,30,0.05,100,450.3386477535181,45.0721186856631,1.7475417980870696,-22.255583645780742,1012,534,35.276679841897234
ret_3m,30,0.05,200,567.2992412880011,51.30135433095313,1.6269430286618332,-27.993060749082176,1122,623,30.124777183600713
ret_3m,30,0.05,500,1163.4825248341238,73.9123437380974,2.031576535396233,-28.85361439229912,1241,655,22.72360999194198
ret_3m,30,0.05,1000,1579.0425116599004,85.04309069909782,2.380157514065168,-28.510994138853103,1277,635,13.860610806577917
ret_3m,30,0.1,100,318.4273614584901,36.65308569355754,1.4431034415078272,-28.333997712778313,915,293,43.387978142076506
ret_3m,30,0.1,200,422.1701283112853,43.41868342548827,1.4251733672782834,-33.57942078645194,1024,348,38.57421875
ret_3m,30,0.1,500,828.2794298097069,62.59956803354765,1.7710932024688852,-32.04386042562832,1167,438,31.01970865467009
ret_3m,30,0.1,1000,1609.7411764071683,85.77599277635935,2.3129873777445122,-29.155148907390068,1224,491,18.954248366013072
ret_3m,50,0.03,100,406.5760985531025,42.47314224580385,1.9887430253811649,-15.046009985721403,1526,984,29.29226736566186
ret_3m,50,0.03,200,535.9285188790495,49.7201842010059,1.9421157335573163,-20.445139135193806,1847,1201,25.50081212777477
ret_3m,50,0.03,500,975.5977616804742,67.90979713545273,2.235054451539191,-26.228103494843776,2037,1199,21.698576337751597
ret_3m,50,0.03,1000,1787.679958248461,89.83247236431833,2.7175232356766124,-23.107802302453408,2098,1127,14.061010486177311
ret_3m,50,0.05,100,351.45208978361745,38.93678647522325,1.853013133787538,-16.09032109091934,1388,724,37.17579250720461
ret_3m,50,0.05,200,428.56852262976713,43.8002685381061,1.7579740269104571,-20.075258803031755,1721,930,31.841952353282977
ret_3m,50,0.05,500,669.5500425673108,56.08139552777691,1.9340068070244392,-27.040272674992693,1970,1019,26.192893401015226
ret_3m,50,0.05,1000,1524.2094431809671,83.707514992784,2.563718756019993,-23.778623171794816,2061,1020,17.03056768558952
ret_3m,50,0.1,100,252.00781806555366,31.59574186665899,1.510999226572188,-23.860170242947166,1238,373,44.58804523424879
ret_3m,50,0.1,200,301.71623626273407,35.44334354577825,1.463515077474833,-23.757554893279114,1551,485,40.10315925209542
ret_3m,50,0.1,500,489.45923213061013,47.261978865756404,1.6551734826486952,-28.945102578968516,1821,613,34.04722679846238
ret_3m,50,0.1,1000,1243.1548902007592,76.24805900844143,2.308266955473426,-25.851857168063074,1941,736,22.926326635754766
ret_3m,100,0.03,100,157.9796440644706,22.96909772246847,1.8984687312331785,-15.475050277360896,1196,832,25.334448160535118
ret_3m,100,0.03,200,390.9970610720792,41.505506046167405,2.0944581652355385,-13.089324733127391,2939,1893,28.070772371554952
ret_3m,100,0.03,500,616.391527775766,53.662885607873534,2.3541227151445896,-17.13308847222471,3711,2202,24.952842899488008
ret_3m,100,0.03,1000,1166.1023950288436,73.9909552463676,2.780401617870874,-20.166763935249797,3972,2207,17.044310171198386
ret_3m,100,0.05,100,145.76798638220058,21.674978536437962,1.8025910453410072,-17.154142716785778,1049,611,33.269780743565306
ret_3m,100,0.05,200,311.23449711720656,36.137101052644006,1.8620796844883958,-15.330358531809866,2659,1389,35.125987213238055
ret_3m,100,0.05,500,479.6288559908073,46.72264934203068,2.086232137120157,-17.53555290305507,3502,1723,30.582524271844658
ret_3m,100,0.05,1000,933.3783330655201,66.44928220156355,2.526671997280084,-20.685166877505118,3856,1942,20.12448132780083
ret_3m,100,0.1,100,122.44531974103951,19.056752284653378,1.584364393249296,-19.14412443415597,887,348,42.728297632469
ret_3m,100,0.1,200,233.16151388423685,30.02537060551782,1.5605948337903799,-20.450729924618333,2335,706,43.16916488222698
ret_3m,100,0.1,500,322.71721784067296,36.95752838515007,1.6783109323962648,-18.59730268812294,3213,941,38.00186741363212
ret_3m,100,0.1,1000,697.871297870053,57.316959964198745,2.1585077227997624,-22.872650895280067,3592,1288,26.280623608017816
ret_6m,10,0.03,100,816.4431766714248,66.87808901052496,1.2775745675153634,-45.255596893123816,365,255,21.095890410958905
ret_6m,10,0.03,200,1411.8866955025778,87.35118469594055,1.5236398968194746,-46.595341470055445,362,247,22.65193370165746
ret_6m,10,0.03,500,841.1326508999518,67.90673514199138,1.508786136539757,-29.657539231975516,403,249,14.888337468982629
ret_6m,10,0.03,1000,1074.2709259892715,76.72033699389947,1.6479555128588017,-31.685851535747744,404,228,10.643564356435643
ret_6m,10,0.05,100,748.1522965587939,63.91739707029722,1.2625193871164226,-46.374492515986354,346,213,26.589595375722542
ret_6m,10,0.05,200,913.3591441423426,70.80131924202857,1.338666112531628,-47.784630062474236,340,208,26.47058823529412
ret_6m,10,0.05,500,612.2171539425433,57.430546723738594,1.3477456436350284,-30.156314488679747,392,233,16.581632653061224
ret_6m,10,0.05,1000,757.2578883501102,64.32251863158037,1.4580132317733663,-31.553398271447268,397,211,12.090680100755668
ret_6m,10,0.1,100,622.1221470781968,57.9339689378102,1.2500772845660404,-42.51624349855412,310,138,35.483870967741936
ret_6m,10,0.1,200,947.3037725987348,72.10716008979074,1.358965617099096,-42.93033381000299,299,139,34.78260869565217
ret_6m,10,0.1,500,349.5129829814153,41.54261605346339,1.0462803310371933,-34.09321835929342,362,172,23.480662983425415
ret_6m,10,0.1,1000,706.4956946194751,62.020209356453,1.4003226968046354,-33.97825426784147,373,167,16.890080428954423
ret_6m,20,0.03,100,469.392453111617,49.49276874408086,1.449069324586647,-32.78860977695561,638,448,22.727272727272727
ret_6m,20,0.03,200,602.7474955093301,56.94419188843727,1.3827430072247038,-38.09535682742119,693,488,20.49062049062049
ret_6m,20,0.03,500,1101.3374846569036,77.65369574085834,1.8112913295453932,-29.846217467847246,756,486,15.211640211640212
ret_6m,20,0.03,1000,1707.494930993587,95.24711887871977,2.100379906314484,-30.481950876717473,769,457,13.654096228868662
ret_6m,20,0.05,100,384.9116574585448,44.044625965695246,1.343668975772921,-32.78860553540165,604,372,28.311258278145697
ret_6m,20,0.05,200,431.89333612710345,47.156974041061225,1.2065705478393565,-39.37615768685105,646,400,25.851393188854487
ret_6m,20,0.05,500,737.127105462892,63.42236928020873,1.5690349986451348,-31.560930206574028,738,448,17.208672086720867
ret_6m,20,0.05,1000,1363.0374679200004,85.93418272808182,1.956370280954468,-30.602692435500185,752,426,15.425531914893616
ret_6m,20,0.1,100,276.30341574529854,35.84410706226808,1.133171181709809,-39.8371830457661,521,211,36.660268714011515
ret_6m,20,0.1,200,311.67871222061336,38.69496133780781,1.0534956938921958,-41.87404344922358,572,258,32.86713286713287
ret_6m,20,0.1,500,698.0203350795472,61.62502672645043,1.4789412786934786,-33.81241997645855,664,305,25.0
