entry_date,exit_date,ticker,entry_price,exit_price,pnl_pct,exit_reason,hold_days,year
2021-09-30,2021-10-27,FCG,14.90170955657959,16.397192001342773,10.035643488319623,stop_loss,27,2021
2021-09-30,2021-10-27,XOP,87.53130340576172,95.77583312988281,9.418950025115702,stop_loss,27,2021
2021-09-30,2021-10-27,MLPX,28.782779693603516,31.068405151367188,7.940947615534211,stop_loss,27,2021
2021-09-30,2021-10-27,KRE,60.469520568847656,62.39738845825195,3.1881646675357977,stop_loss,27,2021
2021-09-30,2021-11-03,USO,52.560001373291016,55.34000015258789,5.289190842201097,stop_loss,34,2021
2021-09-30,2021-11-03,DBC,18.150362014770508,18.9058780670166,4.162539852545444,stop_loss,34,2021
2021-09-30,2021-11-17,XLE,22.469087600708008,24.686235427856445,9.867547212191097,stop_loss,48,2021
2021-11-30,2021-12-01,RIOT,37.369998931884766,35.599998474121094,-4.736420948231479,stop_loss,1,2021
2021-11-30,2021-12-01,ETHE,40.738433837890625,39.43950271606445,-3.1884660244794194,stop_loss,1,2021
2021-11-30,2021-12-01,ESPO,68.92473602294922,66.61968994140625,-3.3442943920387047,stop_loss,1,2021
2021-11-30,2021-12-01,METV,16.061071395874023,15.432594299316406,-3.9130459050139565,stop_loss,1,2021
2021-11-30,2021-12-09,KRBN,33.644344329833984,35.40287780761719,5.226832363095957,stop_loss,9,2021
2021-11-30,2021-12-13,SOXX,170.38546752929688,168.9334259033203,-0.8522097846912269,stop_loss,13,2021
2021-11-30,2021-12-13,SMH,148.3772735595703,145.78347778320312,-1.7481085304656419,stop_loss,13,2021
2021-11-30,2021-12-13,XSD,235.20591735839844,233.20172119140625,-0.8521027827451566,stop_loss,13,2021
2021-11-30,2021-12-20,UAE,14.306122779846191,14.307193756103516,0.007486139143386694,stop_loss,20,2021
2021-11-30,2021-12-31,FIVG,38.259761810302734,39.901885986328125,4.2920397261417165,rebalance,31,2021
2021-12-31,2022-01-05,XLRE,45.63868713378906,43.57740783691406,-4.516517512505114,stop_loss,5,2022
2021-12-31,2022-01-05,VNQ,100.03668212890625,96.29425048828125,-3.741059340415287,stop_loss,5,2022
2021-12-31,2022-01-05,IYR,105.31719207763672,101.22747802734375,-3.8832349871976812,stop_loss,5,2022
2021-12-31,2022-01-18,PEJ,48.2559928894043,46.54171371459961,-3.5524689725762504,stop_loss,18,2022
2021-12-31,2022-01-18,SLX,47.49282455444336,49.89470291137695,5.0573499880602,stop_loss,18,2022
2021-12-31,2022-01-20,EWW,45.099403381347656,44.23484802246094,-1.9169995478128254,stop_loss,20,2022
2021-12-31,2022-01-20,XME,43.08625411987305,42.81684875488281,-0.6252698696913916,stop_loss,20,2022
2021-12-31,2022-01-21,PICK,36.502506256103516,37.63303756713867,3.097133394357332,stop_loss,21,2022
2021-12-31,2022-01-25,XLP,69.8780517578125,67.84812927246094,-2.9049500297847253,stop_loss,25,2022
2022-01-31,2022-02-03,UNG,68.04000091552734,68.95999908447266,1.3521430872517337,stop_loss,3,2022
2022-01-31,2022-02-03,ECH,22.41970443725586,20.996641159057617,-6.347377514190022,stop_loss,3,2022
2022-01-31,2022-02-03,EPU,27.759531021118164,26.503482818603516,-4.524745758705739,stop_loss,3,2022
2022-01-31,2022-02-08,FCG,17.355701446533203,17.471769332885742,0.6687594086018489,stop_loss,8,2022
2022-01-31,2022-02-08,XOP,96.97822570800781,98.01533508300781,1.0694249842460923,stop_loss,8,2022
2021-12-31,2022-02-15,USO,54.36000061035156,64.27999877929688,18.24870871516562,stop_loss,46,2022
2022-01-31,2022-02-15,XLE,28.8028564453125,29.724790573120117,3.200842699605433,stop_loss,15,2022
2022-01-31,2022-02-17,AMLP,26.436721801757812,27.188257217407227,2.84277082947344,stop_loss,17,2022
2022-01-31,2022-02-28,EWZ,24.06279754638672,25.029266357421875,4.01644409454911,rebalance,28,2022
2022-01-31,2022-02-28,FLBR,14.602620124816895,15.177874565124512,3.939391940559922,rebalance,28,2022
2022-02-28,2022-03-03,CLSK,10.600000381469727,10.079999923706055,-4.905664519340069,stop_loss,3,2022
2022-02-28,2022-03-03,MSTR,44.29999923706055,42.869998931884766,-3.2279917151318394,stop_loss,3,2022
2022-02-28,2022-03-03,RIOT,17.229999542236328,15.970000267028809,-7.31282245318029,stop_loss,3,2022
2022-02-28,2022-03-03,MARA,25.350000381469727,24.65999984741211,-2.7218955569010217,stop_loss,3,2022
2022-02-28,2022-03-03,ETHE,20.498220443725586,19.501779556274414,-4.861109237198091,stop_loss,3,2022
2022-02-28,2022-03-03,HYDR,89.0321044921875,84.01204681396484,-5.638480306464244,stop_loss,3,2022
2022-02-28,2022-03-03,DAPP,13.971668243408203,13.151508331298828,-5.870164520234189,stop_loss,3,2022
2022-02-28,2022-03-04,URNM,35.753116607666016,33.780364990234375,-5.517705320852095,stop_loss,4,2022
2022-02-28,2022-03-04,URA,21.94317626953125,21.178667068481445,-3.4840407407716434,stop_loss,4,2022
2022-02-28,2022-03-08,XME,50.62971878051758,54.92102813720703,8.47587041771356,stop_loss,8,2022
2022-03-31,2022-04-05,RIOT,21.170000076293945,19.229999542236328,-9.163913684771408,stop_loss,5,2022
2022-03-31,2022-04-05,ETHE,23.97686767578125,24.439502716064453,1.9295057492038747,stop_loss,5,2022
2022-03-31,2022-04-05,CLSK,12.369999885559082,12.010000228881836,-2.910264025931919,stop_loss,5,2022
2022-03-31,2022-04-05,ACES,61.063720703125,60.3790168762207,-1.1212939844152947,stop_loss,5,2022
2022-03-31,2022-04-05,PBW,59.409034729003906,59.90152359008789,0.8289797390758524,stop_loss,5,2022
2022-03-31,2022-04-05,EWZ,28.77338409423828,29.16149139404297,1.3488413407806377,stop_loss,5,2022
2022-03-31,2022-04-06,ECH,24.771602630615234,24.507442474365234,-1.066382987766501,stop_loss,6,2022
2022-03-31,2022-04-06,ILF,23.541648864746094,23.16206932067871,-1.6123745037919024,stop_loss,6,2022
2022-03-31,2022-04-06,FLBR,17.36089324951172,17.228139877319336,-0.7646690195282191,stop_loss,6,2022
2022-03-31,2022-04-19,UNG,78.87999725341797,99.95999908447266,26.724141182879247,stop_loss,19,2022
2022-05-31,2022-06-02,UNG,111.63999938964844,115.16000366210938,3.152995603462294,stop_loss,2,2022
2022-05-31,2022-06-08,ILF,22.02332878112793,21.116989135742188,-4.115361734790957,stop_loss,8,2022
2022-05-31,2022-06-09,ECH,25.887901306152344,25.04435157775879,-3.258470891161358,stop_loss,9,2022
